#,Hydro,quantities,,t,=,,,2.79398885e-02,s
#,cols=16,rows=800
#,radius,,,,,,,,,,velocity,,,,,,,,density,,,,,,,,,pressure,,,,,,,,temperature,,,,,entropy/baryon,,Y_e,,,,,,,,,,,,,chem_pot_e,,,,,,chem_pot_n,,,,,,chem_pot_p,,,,,,chem_pot_nu,,,,,x_n,,,,,,,,,,,,,x_p,,,,,,,,,,,,,x_alpha,,,,,,,,,mass,,,,,,,,,,,,lapse_function,
#,"cm",,,,,,,,,,,,"cm/s",,,,,,,,,,"g/cm^3",,,,,,,,"erg/cm^3",,,,,,"K",,,,,,,,,,,,,"k_B",,,,,,,,,,,"1",,,,,,,,,,,,,"MeV",,,,,,,,,,,"MeV",,,,,,,,,,,"MeV",,,,,,,,,,,"MeV",,,,,,,,,,,"1",,,,,,,,,,,,,"1",,,,,,,,,,,,,"1",,,,,,,,,,,,,"M_sol",,,,,,,,,"1",,,,,,,,,,,,
2.27705156e+05,-2.39130952e+05,3.55643590e+14,1.20701990e+34,1.16616093e+11,1.09867325e+00,2.48800615e-01,2.28301734e+02,3.00293870e+01,-4.86954376e+01,1.49576909e+02,7.51193375e-01,2.48794606e-01,1.20193449e-05,9.36656767e-03,8.61263272e-01
2.34166453e+05,-2.45725284e+05,3.54804645e+14,1.20010033e+34,1.16528293e+11,1.09936204e+00,2.48757063e-01,2.28110670e+02,2.98588488e+01,-4.87288032e+01,1.49523018e+02,7.51236671e-01,2.48750798e-01,1.25304377e-05,1.01719697e-02,8.61438185e-01
2.40811094e+05,-2.52632917e+05,3.53918233e+14,1.19281229e+34,1.16435142e+11,1.10008800e+00,2.48710742e-01,2.27908277e+02,2.96782400e+01,-4.87641078e+01,1.49465929e+02,7.51282726e-01,2.48704211e-01,1.30633989e-05,1.10457085e-02,8.61622923e-01
2.47644273e+05,-2.59919267e+05,3.52981177e+14,1.18513784e+34,1.16338536e+11,1.10087264e+00,2.48661838e-01,2.27693806e+02,2.94867168e+01,-4.88015676e+01,1.49405522e+02,7.51331352e-01,2.48655027e-01,1.36211859e-05,1.19934390e-02,8.61818028e-01
2.54671344e+05,-2.67499085e+05,3.51990336e+14,1.17705853e+34,1.16239628e+11,1.10173133e+00,2.48610330e-01,2.27466459e+02,2.92834801e+01,-4.88413874e+01,1.49341592e+02,7.51382567e-01,2.48603227e-01,1.42061118e-05,1.30212648e-02,8.62024065e-01
2.61897812e+05,-2.75214792e+05,3.50942510e+14,1.16855535e+34,1.16139185e+11,1.10267647e+00,2.48556176e-01,2.27225414e+02,2.90677176e+01,-4.88837544e+01,1.49273942e+02,7.51436413e-01,2.48548766e-01,1.48202324e-05,1.41357649e-02,8.62241627e-01
2.69329344e+05,-2.82969382e+05,3.49834380e+14,1.15960867e+34,1.16037754e+11,1.10371898e+00,2.48499305e-01,2.26969803e+02,2.88385854e+01,-4.89288531e+01,1.49202365e+02,7.51492962e-01,2.48491572e-01,1.54655004e-05,1.53440316e-02,8.62471341e-01
2.76971750e+05,-2.90845311e+05,3.48662475e+14,1.15019822e+34,1.15935759e+11,1.10486914e+00,2.48439616e-01,2.26698706e+02,2.85951959e+01,-4.89768728e+01,1.49126637e+02,7.51552312e-01,2.48431544e-01,1.61438491e-05,1.66536966e-02,8.62713860e-01
2.84831016e+05,-2.99063524e+05,3.47423196e+14,1.14030312e+34,1.15833412e+11,1.10613575e+00,2.48376869e-01,2.26411117e+02,2.83366394e+01,-4.90280202e+01,1.49046458e+02,7.51614703e-01,2.48368440e-01,1.68569879e-05,1.80729828e-02,8.62969871e-01
2.92913297e+05,-3.07649968e+05,3.46112675e+14,1.12990210e+34,1.15731309e+11,1.10753155e+00,2.48310971e-01,2.26105986e+02,2.80618926e+01,-4.90825152e+01,1.48961578e+02,7.51680226e-01,2.48302167e-01,1.76073296e-05,1.96107257e-02,8.63240087e-01
